,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,PLAYER_SLUG,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_SLUG,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
10,1630173,"Achiuwa, Precious",Precious Achiuwa,1,2020,2022,precious_achiuwa,precious_achiuwa,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,00
22,203500,"Adams, Steven",Steven Adams,1,2013,2022,steven_adams,steven_adams,1610612763,Memphis,Grizzlies,MEM,grizzlies,grizzlies,Y,00
24,1628389,"Adebayo, Bam",Bam Adebayo,1,2017,2022,bam_adebayo,bam_adebayo,1610612748,Miami,Heat,MIA,heat,heat,Y,00
41,1630583,"Aldama, Santi",Santi Aldama,1,2021,2022,santi_aldama,santi_aldama,1610612763,Memphis,Grizzlies,MEM,grizzlies,grizzlies,Y,11
44,200746,"Aldridge, LaMarcus",LaMarcus Aldridge,1,2006,2022,lamarcus_aldridge,lamarcus_aldridge,1610612751,Brooklyn,Nets,BKN,nets,nets,Y,00
54,1629638,"Alexander-Walker, Nickeil",Nickeil Alexander-Walker,1,2019,2022,nickeil_alexander-walker,nickeil_alexander-walker,1610612762,Utah,Jazz,UTA,jazz,jazz,Y,01
58,1628960,"Allen, Grayson",Grayson Allen,1,2018,2022,grayson_allen,grayson_allen,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,01
59,1628386,"Allen, Jarrett",Jarrett Allen,1,2017,2022,jarrett_allen,jarrett_allen,1610612739,Cleveland,Cavaliers,CLE,cavaliers,cavaliers,Y,00
75,1630631,"Alvarado, Jose",Jose Alvarado,1,2021,2022,jose_alvarado,jose_alvarado,1610612740,New Orleans,Pelicans,NOP,pelicans,pelicans,Y,00
96,203937,"Anderson, Kyle",Kyle Anderson,1,2014,2022,kyle_anderson,kyle_anderson,1610612763,Memphis,Grizzlies,MEM,grizzlies,grizzlies,Y,01
111,203507,"Antetokounmpo, Giannis",Giannis Antetokounmpo,1,2013,2022,giannis_antetokounmpo,giannis_antetokounmpo,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,00
113,203648,"Antetokounmpo, Thanasis",Thanasis Antetokounmpo,1,2015,2022,thanasis_antetokounmpo,thanasis_antetokounmpo,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,01
114,2546,"Anthony, Carmelo",Carmelo Anthony,1,2003,2022,carmelo_anthony,carmelo_anthony,1610612747,Los Angeles,Lakers,LAL,lakers,lakers,Y,00
115,1630175,"Anthony, Cole",Cole Anthony,1,2020,2022,cole_anthony,cole_anthony,1610612753,Orlando,Magic,ORL,magic,magic,Y,00
119,1628384,"Anunoby, OG",OG Anunoby,1,2017,2022,og_anunoby,og_anunoby,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,00
125,1627853,"Arcidiacono, Ryan",Ryan Arcidiacono,1,2017,2021,ryan_arcidiacono,ryan_arcidiacono,1610612752,New York,Knicks,NYK,knicks,knicks,Y,11
155,201571,"Augustin, D.J.",D.J. Augustin,1,2008,2022,d.j._augustin,dj_augustin,1610612747,Los Angeles,Lakers,LAL,lakers,lakers,Y,00
160,1630166,"Avdija, Deni",Deni Avdija,1,2020,2022,deni_avdija,deni_avdija,1610612764,Washington,Wizards,WAS,wizards,wizards,Y,00
168,1629028,"Ayton, Deandre",Deandre Ayton,1,2018,2022,deandre_ayton,deandre_ayton,1610612756,Phoenix,Suns,PHX,suns,suns,Y,00
170,1628962,"Azubuike, Udoka",Udoka Azubuike,1,2020,2022,udoka_azubuike,udoka_azubuike,1610612762,Utah,Jazz,UTA,jazz,jazz,Y,11
179,1628963,"Bagley III, Marvin",Marvin Bagley III,1,2018,2022,marvin_bagley_iii,marvin_bagley_iii,1610612765,Detroit,Pistons,DET,pistons,pistons,Y,00
195,1630163,"Ball, LaMelo",LaMelo Ball,1,2020,2022,lamelo_ball,lamelo_ball,1610612766,Charlotte,Hornets,CHA,hornets,hornets,Y,00
196,1628366,"Ball, Lonzo",Lonzo Ball,1,2017,2022,lonzo_ball,lonzo_ball,1610612741,Chicago,Bulls,CHI,bulls,bulls,Y,00
199,1628964,"Bamba, Mo",Mo Bamba,1,2018,2022,mohamed_bamba,mo_bamba,1610612753,Orlando,Magic,ORL,magic,magic,Y,00
201,1630217,"Bane, Desmond",Desmond Bane,1,2020,2022,desmond_bane,desmond_bane,1610612763,Memphis,Grizzlies,MEM,grizzlies,grizzlies,Y,00
206,1630625,"Banton, Dalano",Dalano Banton,1,2021,2022,dalano_banton,dalano_banton,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,11
219,203084,"Barnes, Harrison",Harrison Barnes,1,2012,2022,harrison_barnes,harrison_barnes,1610612758,Sacramento,Kings,SAC,kings,kings,Y,00
224,1630567,"Barnes, Scottie",Scottie Barnes,1,2021,2022,scottie_barnes,scottie_barnes,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,00
235,1629628,"Barrett, RJ",RJ Barrett,1,2019,2022,rj_barrett,rj_barrett,1610612752,New York,Knicks,NYK,knicks,knicks,Y,00
244,203115,"Barton, Will",Will Barton,1,2012,2022,will_barton,will_barton,1610612743,Denver,Nuggets,DEN,nuggets,nuggets,Y,01
250,1629646,"Bassey, Charles",Charles Bassey,1,2021,2022,charles_bassey,charles_bassey,1610612755,Philadelphia,76ers,PHI,sixers,sixers,Y,11
254,1628966,"Bates-Diop, Keita",Keita Bates-Diop,1,2018,2022,keita_bates-diop,keita_bates-diop,1610612759,San Antonio,Spurs,SAS,spurs,spurs,Y,01
262,201587,"Batum, Nicolas",Nicolas Batum,1,2008,2022,nicolas_batum,nicolas_batum,1610612746,LA,Clippers,LAC,clippers,clippers,Y,00
270,203145,"Bazemore, Kent",Kent Bazemore,1,2012,2022,kent_bazemore,kent_bazemore,1610612747,Los Angeles,Lakers,LAL,lakers,lakers,Y,01
271,1629647,"Bazley, Darius",Darius Bazley,1,2019,2022,darius_bazley,darius_bazley,1610612760,Oklahoma City,Thunder,OKC,thunder,thunder,Y,00
273,203078,"Beal, Bradley",Bradley Beal,1,2012,2022,bradley_beal,bradley_beal,1610612764,Washington,Wizards,WAS,wizards,wizards,Y,00
277,1627736,"Beasley, Malik",Malik Beasley,1,2016,2022,malik_beasley,malik_beasley,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,01
321,202722,"Bertans, Davis",Davis Bertans,1,2016,2022,davis_bertans,davis_bertans,1610612742,Dallas,Mavericks,DAL,mavericks,mavericks,Y,01
325,201976,"Beverley, Patrick",Patrick Beverley,1,2012,2022,patrick_beverley,patrick_beverley,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,01
326,1630180,"Bey, Saddiq",Saddiq Bey,1,2020,2022,saddiq_bey,saddiq_bey,1610612765,Detroit,Pistons,DET,pistons,pistons,Y,00
340,203920,"Birch, Khem",Khem Birch,1,2017,2022,khem_birch,khem_birch,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,01
346,1629048,"Bitadze, Goga",Goga Bitadze,1,2019,2022,goga_bitadze,goga_bitadze,1610612754,Indiana,Pacers,IND,pacers,pacers,Y,01
