,PERSON_ID,TEAM_ID,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,1630173,1610612761,,,,,,,,,,,,,,,,,,,,,,
1,203500,1610612763,,,,,,,,,,,,,,,,,,,,,,
2,1628389,1610612748,23.0,64.0,64.0,2143.0,456.0,800.0,0.57,2.0,8.0,0.25,283.0,354.0,0.799,142.0,431.0,573.0,346.0,75.0,66.0,169.0,145.0,1197.0
3,1630583,1610612763,,,,,,,,,,,,,,,,,,,,,,
4,200746,1610612751,35.0,5.0,5.0,130.0,25.0,48.0,0.521,4.0,5.0,0.8,10.0,10.0,1.0,2.0,22.0,24.0,13.0,3.0,11.0,7.0,11.0,64.0
5,1629638,1610612762,,,,,,,,,,,,,,,,,,,,,,
6,1628960,1610612749,,,,,,,,,,,,,,,,,,,,,,
7,1628386,1610612739,23.0,51.0,40.0,1544.0,254.0,417.0,0.609,6.0,19.0,0.316,158.0,229.0,0.69,158.0,348.0,506.0,86.0,25.0,71.0,78.0,75.0,672.0
8,1630631,1610612740,,,,,,,,,,,,,,,,,,,,,,
9,203937,1610612750,,,,,,,,,,,,,,,,,,,,,,
10,203507,1610612749,26.0,61.0,61.0,2013.0,626.0,1100.0,0.569,67.0,221.0,0.303,398.0,581.0,0.685,97.0,574.0,671.0,357.0,72.0,73.0,207.0,168.0,1717.0
11,203648,1610612749,28.0,57.0,3.0,551.0,67.0,137.0,0.489,7.0,29.0,0.241,25.0,49.0,0.51,54.0,70.0,124.0,46.0,22.0,10.0,43.0,74.0,166.0
12,2546,1610612747,,,,,,,,,,,,,,,,,,,,,,
13,1630175,1610612753,21.0,47.0,34.0,1273.0,219.0,552.0,0.397,58.0,172.0,0.337,109.0,131.0,0.832,38.0,183.0,221.0,192.0,30.0,18.0,106.0,98.0,605.0
14,1628384,1610612761,23.0,43.0,43.0,1433.0,249.0,519.0,0.48,104.0,261.0,0.398,80.0,102.0,0.784,54.0,183.0,237.0,94.0,66.0,32.0,75.0,114.0,682.0
15,1627853,1610612741,27.0,44.0,0.0,450.0,49.0,117.0,0.419,25.0,67.0,0.373,13.0,20.0,0.65,5.0,62.0,67.0,56.0,9.0,0.0,10.0,47.0,136.0
16,201571,1610612747,,,,,,,,,,,,,,,,,,,,,,
17,1630166,1610612764,20.0,54.0,32.0,1257.0,130.0,312.0,0.417,53.0,168.0,0.315,29.0,45.0,0.644,22.0,240.0,262.0,63.0,32.0,15.0,33.0,140.0,342.0
18,1629028,1610612756,22.0,69.0,69.0,2115.0,430.0,687.0,0.626,4.0,20.0,0.2,133.0,173.0,0.769,228.0,499.0,727.0,99.0,41.0,81.0,103.0,196.0,997.0
19,1628962,1610612762,21.0,15.0,0.0,57.0,4.0,9.0,0.444,0.0,0.0,0.0,8.0,10.0,0.8,4.0,9.0,13.0,0.0,1.0,4.0,3.0,9.0,16.0
20,1628963,1610612765,,,,,,,,,,,,,,,,,,,,,,
21,1630163,1610612766,19.0,51.0,31.0,1469.0,293.0,672.0,0.436,92.0,261.0,0.352,125.0,165.0,0.758,63.0,239.0,302.0,313.0,81.0,18.0,145.0,136.0,803.0
22,1628366,1610612741,,,,,,,,,,,,,,,,,,,,,,
23,1628964,1610612753,23.0,46.0,5.0,725.0,142.0,301.0,0.472,38.0,118.0,0.322,45.0,66.0,0.682,76.0,189.0,265.0,35.0,14.0,58.0,36.0,87.0,367.0
24,1630217,1610612763,23.0,68.0,17.0,1519.0,234.0,499.0,0.469,117.0,271.0,0.432,40.0,49.0,0.816,31.0,179.0,210.0,118.0,41.0,16.0,59.0,125.0,625.0
25,1630625,1610612761,,,,,,,,,,,,,,,,,,,,,,
26,203084,1610612758,29.0,58.0,58.0,2102.0,319.0,642.0,0.497,100.0,256.0,0.391,195.0,235.0,0.83,64.0,321.0,385.0,201.0,43.0,11.0,93.0,75.0,933.0
27,1630567,1610612761,,,,,,,,,,,,,,,,,,,,,,
28,1629628,1610612752,21.0,72.0,72.0,2511.0,467.0,1060.0,0.441,124.0,309.0,0.401,206.0,276.0,0.746,68.0,346.0,414.0,217.0,53.0,20.0,139.0,188.0,1264.0
29,203115,1610612764,,,,,,,,,,,,,,,,,,,,,,
30,1629646,1610612755,,,,,,,,,,,,,,,,,,,,,,
31,1628966,1610612759,25.0,30.0,0.0,245.0,30.0,67.0,0.448,5.0,17.0,0.294,14.0,21.0,0.667,9.0,40.0,49.0,12.0,11.0,5.0,7.0,11.0,79.0
32,201587,1610612746,32.0,67.0,38.0,1835.0,191.0,412.0,0.464,110.0,272.0,0.404,48.0,58.0,0.828,50.0,266.0,316.0,148.0,69.0,37.0,53.0,102.0,540.0
33,203145,1610612747,,,,,,,,,,,,,,,,,,,,,,
34,1629647,1610612760,21.0,55.0,55.0,1714.0,273.0,690.0,0.396,83.0,286.0,0.29,125.0,178.0,0.702,51.0,345.0,396.0,99.0,29.0,25.0,122.0,60.0,754.0
35,203078,1610612764,28.0,60.0,60.0,2147.0,670.0,1382.0,0.485,130.0,373.0,0.349,408.0,459.0,0.889,72.0,211.0,283.0,265.0,69.0,22.0,187.0,140.0,1878.0
36,1627736,1610612762,,,,,,,,,,,,,,,,,,,,,,
37,202722,1610612742,,,,,,,,,,,,,,,,,,,,,,
38,201976,1610612747,,,,,,,,,,,,,,,,,,,,,,
39,1630180,1610612765,22.0,70.0,53.0,1909.0,279.0,691.0,0.404,175.0,460.0,0.38,124.0,147.0,0.844,43.0,275.0,318.0,95.0,52.0,14.0,60.0,110.0,857.0
40,203920,1610612761,28.0,19.0,17.0,577.0,95.0,171.0,0.556,9.0,31.0,0.29,28.0,44.0,0.636,57.0,87.0,144.0,36.0,16.0,22.0,21.0,46.0,227.0
41,1629048,1610612754,21.0,45.0,3.0,561.0,83.0,194.0,0.428,20.0,79.0,0.253,45.0,61.0,0.738,60.0,90.0,150.0,37.0,9.0,60.0,17.0,94.0,231.0
42,202687,1610612756,,,,,,,,,,,,,,,,,,,,,,
43,202357,1610612744,,,,,,,,,,,,,,,,,,,,,,
44,202339,1610612757,,,,,,,,,,,,,,,,,,,,,,
45,1629833,1610612757,25.0,17.0,0.0,75.0,5.0,20.0,0.25,2.0,8.0,0.25,0.0,0.0,0.0,3.0,7.0,10.0,4.0,2.0,0.0,5.0,8.0,12.0
46,203992,1610612737,28.0,44.0,27.0,1305.0,267.0,565.0,0.473,146.0,333.0,0.438,40.0,44.0,0.909,20.0,140.0,160.0,147.0,49.0,13.0,54.0,99.0,720.0
47,202711,1610612762,32.0,72.0,72.0,2216.0,406.0,925.0,0.439,180.0,461.0,0.39,233.0,265.0,0.879,40.0,241.0,281.0,136.0,45.0,4.0,128.0,115.0,1225.0
48,1629626,1610612753,,,,,,,,,,,,,,,,,,,,,,
49,1630195,1610612762,,,,,,,,,,,,,,,,,,,,,,
50,1629067,1610612761,,,,,,,,,,,,,,,,,,,,,,
51,1626164,1610612756,24.0,67.0,67.0,2270.0,623.0,1287.0,0.484,126.0,371.0,0.34,340.0,392.0,0.867,34.0,247.0,281.0,289.0,53.0,16.0,207.0,181.0,1712.0
52,1630527,1610612746,,,,,,,,,,,,,,,,,,,,,,
