,PLAYER_NAME,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP,DRAFT_NUMBER,GP,MIN,PTS,REB,AST,STL,BLK,SALARY,AGE
0,Precious Achiuwa,Raptors,Forward,203,21.0,Nigeria,1999-09-19,2,20,,,,,,,,2711280,"23 Years, 0 months, 5 days"
1,Steven Adams,Grizzlies,Center,211,24.0,New Zealand,1993-07-20,9,12,,,,,,,,17073171,"29 Years, 2 months, 4 days"
2,Bam Adebayo,Heat,Center-Forward,206,24.0,USA,1997-07-18,5,14,64.0,2143.0,1197.0,573.0,346.0,75.0,66.0,28103550,"25 Years, 2 months, 6 days"
3,Santi Aldama,Grizzlies,Forward-Center,211,20.0,Spain,2001-01-10,1,30,,,,,,,,1994520,"21 Years, 8 months, 14 days"
4,LaMarcus Aldridge,Nets,Center-Forward,211,23.0,USA,1985-07-19,16,2,5.0,130.0,64.0,24.0,13.0,3.0,11.0,2641691,"37 Years, 2 months, 5 days"
5,Nickeil Alexander-Walker,Jazz,Guard,196,19.0,Canada,1998-09-02,3,17,,,,,,,,3261480,"24 Years, 0 months, 22 days"
6,Grayson Allen,Bucks,Guard,193,19.0,USA,1995-10-08,4,21,,,,,,,,4054695,"26 Years, 11 months, 16 days"
7,Jarrett Allen,Cavaliers,Center,208,23.0,USA,1998-04-21,5,22,51.0,1544.0,672.0,506.0,86.0,25.0,71.0,20000000,"24 Years, 5 months, 3 days"
9,Kyle Anderson,Timberwolves,Forward-Guard,206,21.0,USA,1993-09-20,8,30,,,,,,,,9937150,"27 Years, 9 months, 18 days"
10,Giannis Antetokounmpo,Bucks,Forward,211,23.0,Greece,1994-12-06,9,15,61.0,2013.0,1717.0,671.0,357.0,72.0,73.0,39344970,"30 Years, 2 months, 6 days"
11,Thanasis Antetokounmpo,Bucks,Forward,198,20.0,Greece,1992-07-18,4,51,57.0,551.0,166.0,124.0,46.0,22.0,10.0,1729217,"38 Years, 3 months, 26 days"
12,Carmelo Anthony,Lakers,Forward,201,22.0,USA,1984-05-29,19,3,,,,,,,,2641691,"22 Years, 4 months, 9 days"
13,Cole Anthony,Magic,Guard,190,17.0,USA,2000-05-15,2,15,47.0,1273.0,605.0,221.0,192.0,30.0,18.0,3449400,"25 Years, 2 months, 7 days"
14,OG Anunoby,Raptors,Forward,201,22.0,United Kingdom,1997-07-17,5,23,43.0,1433.0,682.0,237.0,94.0,66.0,32.0,16071429,"28 Years, 5 months, 29 days"
15,Ryan Arcidiacono,Bulls,Guard,190,18.0,USA,1994-03-26,6,Undrafted,44.0,450.0,136.0,67.0,56.0,9.0,0.0,586136,"34 Years, 10 months, 14 days"
16,D.J. Augustin,Lakers,Guard,180,17.0,USA,1987-11-10,14,9,,,,,,,,7622467,"21 Years, 8 months, 21 days"
17,Deni Avdija,Wizards,Forward,206,20.0,Israel,2001-01-03,2,9,54.0,1257.0,342.0,262.0,63.0,32.0,15.0,4692840,"24 Years, 2 months, 1 days"
18,Deandre Ayton,Suns,Center,211,23.0,Bahamas,1998-07-23,4,1,69.0,2115.0,997.0,727.0,99.0,41.0,81.0,12632950,"23 Years, 0 months, 7 days"
19,Udoka Azubuike,Jazz,Center-Forward,213,25.0,Nigeria,1999-09-17,2,27,15.0,57.0,16.0,13.0,0.0,1.0,4.0,2075880,"23 Years, 6 months, 10 days"
20,Marvin Bagley III,Pistons,Forward,211,22.0,USA,1999-03-14,4,2,,,,,,,,11312114,"21 Years, 1 months, 2 days"
21,LaMelo Ball,Hornets,Guard,201,17.0,USA,2001-08-22,2,3,51.0,1469.0,803.0,302.0,313.0,81.0,18.0,8231760,"24 Years, 10 months, 28 days"
22,Lonzo Ball,Bulls,Guard,198,18.0,USA,1997-10-27,5,2,,,,,,,,18604651,"24 Years, 4 months, 12 days"
23,Mo Bamba,Magic,Center,213,22.0,USA,1998-05-12,4,6,46.0,725.0,367.0,265.0,35.0,14.0,58.0,7568742,"24 Years, 2 months, 30 days"
24,Desmond Bane,Grizzlies,Guard,196,20.0,USA,1998-06-25,2,30,68.0,1519.0,625.0,210.0,118.0,41.0,16.0,2033160,"22 Years, 10 months, 17 days"
25,Dalano Banton,Raptors,Forward,201,19.0,Canada,1999-11-07,1,46,,,,,,,,925258,"30 Years, 3 months, 25 days"
