,PERSON_ID,PLAYER_NAME,SALARY
0,1630173,Precious Achiuwa,2711280
1,203500,Steven Adams,17073171
2,1628389,Bam Adebayo,28103550
3,1630583,Santi Aldama,1994520
4,200746,LaMarcus Aldridge,2641691
5,1629638,Nickeil Alexander-Walker,3261480
6,1628960,Grayson Allen,4054695
7,1628386,Jarrett Allen,20000000
8,1630631,Jose Alvarado,
9,203937,Kyle Anderson,9937150
10,203507,Giannis Antetokounmpo,39344970
11,203648,Thanasis Antetokounmpo,1729217
12,2546,Carmelo Anthony,2641691
13,1630175,Cole Anthony,3449400
14,1628384,OG Anunoby,16071429
15,1627853,Ryan Arcidiacono,586136
16,201571,D.J. Augustin,7622467
17,1630166,Deni Avdija,4692840
18,1629028,Deandre Ayton,12632950
19,1628962,Udoka Azubuike,2075880
20,1628963,Marvin Bagley,11312114
21,1630163,LaMelo Ball,8231760
22,1628366,Lonzo Ball,18604651
23,1628964,Mo Bamba,7568742
24,1630217,Desmond Bane,2033160
25,1630625,Dalano Banton,925258
26,203084,Harrison Barnes,20284091
27,1630567,Scottie Barnes,7280520
28,1629628,RJ Barrett,8623920
29,203115,Will Barton,15384615
30,1629646,Charles Bassey,925258
31,1628966,Keita Bates-Diop,1729217
32,201587,Nicolas Batum,12213507
33,203145,Kent Bazemore,2401537
34,1629647,Darius Bazley,2513040
35,203078,Bradley Beal,34502130
36,1627736,Malik Beasley,14391964
37,202722,Davis Bertans,16000000
38,201976,Patrick Beverley,14320988
39,1630180,Saddiq Bey,2824320
40,203920,Khem Birch,6350000
41,1629048,Goga Bitadze,3098400
42,202687,Bismack Biyombo,1366392
43,202357,Nemanja Bjelica,2089448
44,202339,Eric Bledsoe,18125000
45,1629833,Keljin Blevins,
46,203992,Bogdan Bogdanovic,18000000
47,202711,Bojan Bogdanovic,18700000
48,1629626,Bol Bol,2161152
49,1630195,Leandro Bolmaro,2353320
50,1629067,Isaac Bonga,1729217
51,1626164,Devin Booker,31610000
52,1630527,Brandon Boston,925258
53,1628449,Chris Boucher,7009615
54,1630547,James Bouknight,4154400
55,202340,Avery Bradley,2641691
56,1628396,Tony Bradley,1789256
57,1629649,Ignas Brazdeikis,
58,1628969,Mikal Bridges,5557725
59,1628970,Miles Bridges,5421493
60,1629052,Oshae Brissett,1701593
61,1627763,Malcolm Brogdon,21700000
62,1629717,Armoni Brooks,1489065
63,1628415,Dillon Brooks,12200000
64,1628971,Bruce Brown,4736102
65,1627759,Jaylen Brown,24830357
66,1629650,Moses Brown,1701593
67,1628425,Sterling Brown,3000000
68,1630535,Greg Brown,925258
69,1629718,Charlie Brown,
70,1630602,Chaundee Brown,
71,1628972,Troy Brown,5170564
72,1628973,Jalen Brunson,1802057
73,1628418,Thomas Bryant,8730159
74,203493,Reggie Bullock,9536000
75,203504,Trey Burke,3333333
76,202692,Alec Burks,9536000
77,1630215,Jared Butler,925258
78,202710,Jimmy Butler,36016200
79,1629719,Devontae Cacok,
80,203484,Kentavious Caldwell-Pope,13038862
81,1630267,Facundo Campazzo,3804150
82,1628427,Vlatko Cancar,1782621
83,1629962,Devin Cannady,
84,203991,Clint Capela,17103448
85,1630176,Vernon Carey,1517981
86,1628975,Jevon Carter,4107149
87,1628976,Wendell Carter,6920027
88,1627936,Alex Caruso,8604651
89,1630551,Justin Champagnie,
90,1629185,Chris Chiozza,
91,1627737,Marquese Chriss,958529
92,1630528,Josh Christopher,2259240
93,1629109,Gary Clark,377645
94,1629634,Brandon Clarke,2726880
95,203903,Jordan Clarkson,12420000
96,1629651,Nic Claxton,1782621
97,1629599,Amir Coffey,
98,1628381,John Collins,23000000
99,1628380,Zach Collins,6984127
100,201144,Mike Conley,21000000
101,1626192,Pat Connaughton,5333333
