,DISPLAY_FIRST_LAST,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP_y,DRAFT_NUMBER_y,GP,MIN,PTS,REB,AST,STL,BLK,SALARY
0,Precious Achiuwa,Raptors,Forward,6-8,225,Nigeria,1999-09-19T00:00:00,2,20,,,,,,,,2711280.0
1,Steven Adams,Grizzlies,Center,6-11,265,New Zealand,1993-07-20T00:00:00,9,12,,,,,,,,17073171.0
2,Bam Adebayo,Heat,Center-Forward,6-9,255,USA,1997-07-18T00:00:00,5,14,64.0,2143.0,1197.0,573.0,346.0,75.0,66.0,28103550.0
3,Santi Aldama,Grizzlies,Forward-Center,6-11,215,Spain,2001-01-10T00:00:00,1,30,,,,,,,,1994520.0
4,LaMarcus Aldridge,Nets,Center-Forward,6-11,250,USA,1985-07-19T00:00:00,16,2,5.0,130.0,64.0,24.0,13.0,3.0,11.0,2641691.0
5,Nickeil Alexander-Walker,Jazz,Guard,6-5,205,Canada,1998-09-02T00:00:00,3,17,,,,,,,,3261480.0
6,Grayson Allen,Bucks,Guard,6-4,198,USA,1995-10-08T00:00:00,4,21,,,,,,,,4054695.0
7,Jarrett Allen,Cavaliers,Center,6-10,243,USA,1998-04-21T00:00:00,5,22,51.0,1544.0,672.0,506.0,86.0,25.0,71.0,20000000.0
8,Jose Alvarado,Pelicans,Guard,6-0,179,USA,1998-04-12T00:00:00,1,Undrafted,,,,,,,,
9,Kyle Anderson,Timberwolves,Forward-Guard,6-9,230,USA,1993-09-20T00:00:00,8,30,,,,,,,,9937150.0
10,Giannis Antetokounmpo,Bucks,Forward,6-11,242,Greece,1994-12-06T00:00:00,9,15,61.0,2013.0,1717.0,671.0,357.0,72.0,73.0,39344970.0
11,Thanasis Antetokounmpo,Bucks,Forward,6-6,219,Greece,1992-07-18T00:00:00,4,51,57.0,551.0,166.0,124.0,46.0,22.0,10.0,1729217.0
12,Carmelo Anthony,Lakers,Forward,6-7,238,USA,1984-05-29T00:00:00,19,3,,,,,,,,2641691.0
13,Cole Anthony,Magic,Guard,6-3,185,USA,2000-05-15T00:00:00,2,15,47.0,1273.0,605.0,221.0,192.0,30.0,18.0,3449400.0
14,OG Anunoby,Raptors,Forward,6-7,232,United Kingdom,1997-07-17T00:00:00,5,23,43.0,1433.0,682.0,237.0,94.0,66.0,32.0,16071429.0
15,Ryan Arcidiacono,Bulls,Guard,6-3,195,USA,1994-03-26T00:00:00,6,Undrafted,44.0,450.0,136.0,67.0,56.0,9.0,0.0,586136.0
16,D.J. Augustin,Lakers,Guard,5-11,183,USA,1987-11-10T00:00:00,14,9,,,,,,,,7622467.0
17,Deni Avdija,Wizards,Forward,6-9,210,Israel,2001-01-03T00:00:00,2,9,54.0,1257.0,342.0,262.0,63.0,32.0,15.0,4692840.0
18,Deandre Ayton,Suns,Center,6-11,250,Bahamas,1998-07-23T00:00:00,4,1,69.0,2115.0,997.0,727.0,99.0,41.0,81.0,12632950.0
19,Udoka Azubuike,Jazz,Center-Forward,7-0,270,Nigeria,1999-09-17T00:00:00,2,27,15.0,57.0,16.0,13.0,0.0,1.0,4.0,2075880.0
20,Marvin Bagley III,Pistons,Forward,6-11,235,USA,1999-03-14T00:00:00,4,2,,,,,,,,11312114.0
21,LaMelo Ball,Hornets,Guard,6-7,180,USA,2001-08-22T00:00:00,2,3,51.0,1469.0,803.0,302.0,313.0,81.0,18.0,8231760.0
22,Lonzo Ball,Bulls,Guard,6-6,190,USA,1997-10-27T00:00:00,5,2,,,,,,,,18604651.0
23,Mo Bamba,Magic,Center,7-0,231,USA,1998-05-12T00:00:00,4,6,46.0,725.0,367.0,265.0,35.0,14.0,58.0,7568742.0
24,Desmond Bane,Grizzlies,Guard,6-5,215,USA,1998-06-25T00:00:00,2,30,68.0,1519.0,625.0,210.0,118.0,41.0,16.0,2033160.0
25,Dalano Banton,Raptors,Forward,6-7,204,Canada,1999-11-07T00:00:00,1,46,,,,,,,,925258.0
26,Harrison Barnes,Kings,Forward,6-8,225,USA,1992-05-30T00:00:00,10,7,58.0,2102.0,933.0,385.0,201.0,43.0,11.0,20284091.0
27,Scottie Barnes,Raptors,Forward,6-7,225,USA,2001-08-01T00:00:00,1,4,,,,,,,,7280520.0
28,RJ Barrett,Knicks,Forward-Guard,6-6,214,Canada,2000-06-14T00:00:00,3,3,72.0,2511.0,1264.0,414.0,217.0,53.0,20.0,8623920.0
29,Will Barton,Wizards,Guard,6-5,181,USA,1991-01-06T00:00:00,10,40,,,,,,,,15384615.0
30,Charles Bassey,76ers,Center-Forward,6-9,230,Nigeria,2000-10-28T00:00:00,1,53,,,,,,,,925258.0
31,Keita Bates-Diop,Spurs,Forward,6-8,229,USA,1996-01-23T00:00:00,4,48,30.0,245.0,79.0,49.0,12.0,11.0,5.0,1729217.0
32,Nicolas Batum,Clippers,Guard-Forward,6-8,230,France,1988-12-14T00:00:00,14,25,67.0,1835.0,540.0,316.0,148.0,69.0,37.0,12213507.0
